index,KR,EN,JP,CN
string,string,string,string,string
100001,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_100001
100002,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_100002
111001,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_111001
111002,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_111002
111003,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_111003
112001,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_112001
112002,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_112002
112003,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_112003
113001,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113001
113002,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113002
113003,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113003
113004,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113004
113005,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113005
113006,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113006
113007,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113007
113008,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113008
113009,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113009
113010,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_20210108,ui_villager_name_113010